Company Name,EPS before 4,EPS before 3,EPS before 2,EPS before 1,PER before 4,PER before 3,PER before 2,PER before 1,ROE before 4,ROE before 3,ROE before 2,ROE before 1,RATING_OF_DEBT before 4,RATING_OF_DEBT before 3,RATING_OF_DEBT before 2,RATING_OF_DEBT before 1,RATING_OF_MARGIN before 4,RATING_OF_MARGIN before 3,RATING_OF_MARGIN before 2,RATING_OF_MARGIN before 1
큐브엔터,-197,-37,41, ,-10.27,-53.07,79.60, ,-27.22,-5.93,6.78, ,24.66,40.21,72.38, ,-26.62,-4.01,3.20, 
에이스토리,108,-334,314,42, , , ,215.69,10.22,-26.44,19.90,1.40,21.70,36.14,52.18, ,2.56,-12.16,5.00,1.13
IHQ,30,17,-69,-18,61.37,146.39,-26.89,-90.72,2.01,1.12,-4.71,-1.34,15.83,12.01,13.05, ,3.86,2.08,-9.04,-3.20
대원미디어,-87,496,165, ,-116.31,16.68,60.38, ,-1.92,10.25,2.89, ,31.50,28.90,23.66, ,0.51,6.46,2.54,6.46
NHN벅스,-237,-320,364, ,-49.03,-24.36,15.24, , ,-7.28,8.57, ,37.12,40.81,37.19, ,-5.25,-5.77,5.82, 
레드로버,18,-243,"-1,111", ,309.69,-17.65,-1.61, ,0.58,-7.35,-40.75, ,13.99,13.65,12.36, ,1.69,-29.75,-406.82, 
씨씨에스,-18,-25,-88, ,-121.42,-23.63,-4.79, ,-3.92,-6.04,-28.29, ,31.87,44.68,46.32, ,-6.88,-9.26,-35.82, 
이매진아시아,-175,-499,-332, ,-14.90,-3.52,-6.32, ,-11.66,-43.10,-38.34, ,21.88,45.27,26.44, ,-8.17,-105.79,-44.30, 
키위미디어그룹,-79,-264,-151, ,-13.84,-2.73,-2.71, ,-16.73, ,-51.62, ,32.92,141.06,137.67, ,-167.62,-108.74,-149.80, 
화이브라더스코리아,-25,-98,5, ,-196.01,-37.78,559.04, , ,-6.32,0.32, ,32.41,22.73,26.03, ,-1.96,-6.26,-1.32, 
제이콘텐트리,"1,591",532,"1,448","1,471",23.10,97.50,30.81,26.68,26.28,5.31,7.45,6.10,340.09,180.80,95.09, ,6.68,2.59,5.00,6.29
팬엔터테인먼트,67,-165,-76,135,71.52,-25.38,-49.01,33.95,1.70,-3.86,-2.21, ,74.06,69.43,42.43, ,1.73,-3.99,-7.85,6.40
iMBC,103,-5,-73, ,37.04,-688.13,-30.81, ,4.59,-0.21,-3.32, ,32.50,24.86,21.80, ,2.64,-0.31,-2.76, 
갤럭시아에스엠,-57,-214,-581, ,-37.46,-13.71,-2.86, ,-3.30,-13.83,-47.80, ,30.32,23.06,25.62, ,-3.36,-18.91,-72.54, 
소리바다,-245,-123,-183, ,-6.26,-15.50,-5.51, ,-58.84,-20.03,-33.66, ,130.95,82.44,128.44, ,-22.02,-11.14,-22.40, 
쇼박스,214,253,70,77,26.36,21.33,43.29,42.23,11.04,11.95,3.11,3.42,56.22,46.32,27.73, ,10.62,15.43,6.35,6.12
애니플러스,11,17,-66, , , ,-31.08, ,2.71,3.89, , ,47.82,45.93,20.05, ,2.98,4.33, , 
세기상사,"-2,802",233,-849, ,-21.13,315.28,-77.17, ,-4.60,0.40,-1.47, ,82.09,81.76,82.75, ,-20.90,1.69,-6.68, 
엔케이물산,-37,-115,-184, ,-27.10,-4.55,-3.46, ,-3.64,-14.67,-31.09, ,28.76,31.89,6.02, ,-14.38,-27.63,-216.28, 
큐로홀딩스,-232,-440,-132, ,-11.06,-2.43,-4.52, ,-25.24,-67.55,-37.52, ,27.85,85.68,127.34, ,-117.26,-258.33,-48.73, 
아이오케이,-249,-171,-408, ,-15.79,-13.44,-4.49, ,-7.45, ,-16.59, ,9.27,21.82,48.32, ,-35.41,-23.80,-44.65, 
스카이라이프,"1,436","1,200","1,079","1,112",12.05,11.21,10.65,7.65,13.32,10.25,8.33,7.84,42.35,36.16,22.49, ,10.36,8.36,7.53,7.59
제이웨이,-166,-325,-221, ,-17.81,-8.60,-6.05, ,-19.91,-44.36,-35.69, ,13.68,17.70,107.33, ,-21.72,-59.44,-23.04, 
이스타코,-190,-43,-97, ,-9.26,-18.95,-6.44, ,-17.31,-4.42,-10.63, ,177.72,124.25,133.53, ,-69.57,-5.54,-19.66, 
스튜디오드래곤,569,"1,050","1,278","1,268", ,61.90,72.30,65.83, ,9.45,9.31,8.49,77.82,24.70,27.68, ,5.27,8.32,9.44,7.48
지니뮤직,197,-72,116, ,18.30,-65.75,41.45, ,12.88,-4.28, , ,61.58,53.32,52.66, ,7.40,-2.19,3.47, 
LG헬로비전,278,373,512,216,33.73,19.04,17.87,23.74,2.24,2.96, ,1.57,90.37,89.25,82.69, ,1.96,2.58,3.37,1.36
YTN,81,108,16, ,30.54,19.39,127.68, ,1.89,2.43,0.37, ,69.52,56.93,52.01, ,2.65,3.46,0.52, 
SBS미디어홀딩스,90,34,81, ,29.66,88.85,25.13, ,1.85,0.70,1.62, ,18.11,14.57,13.62, ,2.63,0.12,3.83, 
현대에이치씨엔,412,386,354,346,10.04,10.24,11.48,11.00,7.37,6.71,5.77, ,9.98,9.84,9.30, ,15.61,15.00,13.78, 
티비씨,26,31,34, ,29.28,21.03,17.00, ,2.62,2.97,3.21, ,8.43,9.63,9.58, ,6.83,7.27,8.33, 
위지윅스튜디오,-112,46,264,352, , ,12.22,17.14, ,18.52,18.75,18.75,"-2,002.95",197.57,34.34, ,-78.59,3.84,19.73,22.30
NEW,160,-287,-504,-348,69.61,-31.91,-8.70,-13.58,3.30,-5.98,-11.29,-8.04,68.69,96.16,98.71, ,2.84,-7.89,-9.16,-6.37
SBS콘텐츠허브,145,-283,385, ,56.40,-32.61,12.85, ,2.00,-3.99,5.42, ,53.73,42.55,36.14, ,1.21,-3.07,5.17, 
